airframe,group,class,name,PHYS_ADVERSE_YAW,PHYS_AILERON_AREA,PHYS_AILERON_ARM,PHYS_AILERON_MAX_DEG,PHYS_ARM_MM,PHYS_AUW_G,PHYS_BATTERY_MAH,PHYS_BATT_V,PHYS_CHORD_M,PHYS_CHORD_MM,PHYS_CL_D_AIL,PHYS_CM_D_ELE,PHYS_CN_D_RUD,PHYS_CRUISE_MS,PHYS_CRUISE_POWER_W,PHYS_CRUISE_THR,PHYS_DIHEDRAL,PHYS_ELEVATOR_AREA,PHYS_ELEVATOR_ARM,PHYS_ELEVATOR_MAX_DEG,PHYS_IPITCH,PHYS_IROLL,PHYS_IYAW,PHYS_MASS_KG,PHYS_MAX_THRUST_N,PHYS_MOTOR_COUNT,PHYS_MOTOR_THRUST_A,PHYS_MOTOR_THRUST_G,PHYS_MOTOR_THRUST_V,PHYS_MOTOR_W,PHYS_PITCH_DAMP,PHYS_PITCH_STABILITY,PHYS_PROP_BLADES,PHYS_PROP_DIAMETER_INCH,PHYS_PROP_INCH,PHYS_PROP_PITCH_INCH,PHYS_QBAR,PHYS_ROLL_DAMP,PHYS_RUDDER_AREA,PHYS_RUDDER_ARM,PHYS_RUDDER_MAX_DEG,PHYS_SERVO_TAU,PHYS_WINGSPAN_M,PHYS_WINGSPAN_MM,PHYS_WING_AREA,PHYS_YAW_DAMP,PHYS_YAW_STABILITY,ROLL_RATE_KP,ALT_POS_KI,ROLL_ANGLE_Q_KP,ARMING_MODE,ROLL_ANGLE_Q_INT_LIMIT,PITCH_RATE_KP,ALT_POS_KP,PITCH_ANGLE_Q_KP,RF_SENSOR_TYPE,PITCH_ANGLE_Q_INT_LIMIT,YAW_RATE_KP,ROLL_RATE_KD,IMU_FILT_TYPE,BB_LOG_TYPE,RX_TYPE,CONFIG1_BITS,RX_THROTTLE_CH,LOW_VOLT_THRES,ROLL_CAM_KP,UNUSED_20,STICK_HYSTERESIS,FW_CLIMB_THROTTLE,PERCENT_IDLE_THR,ROLL_ANGLE_Q_KI,PITCH_ANGLE_Q_KI,PITCH_CAM_KP,SERVO_LPF_HZ,PITCH_RATE_KD,NAV_VEL_KP,UNUSED_ALT_VEL_KP,HORIZON,MADGWICK_KP_MAG,NAV_RTH_ALT,NAV_MAG_VAR,UNUSED_SENSOR_HINT,ESC_TYPE,RC_CHANNELS,RX_ROLL_CH,MADGWICK_KP_ACC,ROLL_CAM_TRIM,NAV_POS_INT_LIMIT,RX_PITCH_CH,RX_YAW_CH,AF_TYPE,TELEMETRY_TYPE,MAX_DESCENT_RATE_MP_S,DESCENT_DELAY_S,GYRO_LPF_SEL,NAV_CROSS_TRACK_KP,RX_GEAR_CH,RX_AUX1_CH,SERVO_SENSE,ACC_CONF_SD,BATTERY_CAPACITY,RX_AUX2_CH,RX_AUX3_CH,NAV_POS_KP,ALT_LPF,BALANCE,RX_AUX4_CH,NAV_POS_KI,UNUSED_GPS_PROTOCOL,NAV_POS_INT_LIM,MAX_YAW_RATE,FW_ROLL_PITCH_FF,FW_PITCH_THROTTLE_FF,UNUSED_ALT_VEL_INT_LIMIT,FW_MAX_CLIMB_ANGLE,NAV_MAX_ANGLE,FW_SPOILER_DECAY_PERCENT_PS,FW_AILERON_DIFFERENTIAL,AS_SENSOR_TYPE,UNUSED_73,CONFIG2_BITS,MAX_PITCH_ANGLE,QUAT_GAIN,MAX_ROLL_ANGLE,YAW_LPF_HZ,NAV_HEADING_TURNOUT,ALT_HOLD_THR_COMP_DECAY_PERCENT_PS,YAW_SYMMETRY_FACTOR,FW_BOARD_PITCH_ANGLE,MAX_ROLL_RATE,MAX_PITCH_RATE,CURRENT_SCALE,VOLT_SCALE,FW_AILERON_RUDDER_MIX,FW_ALT_SPOILER_FF,MAX_HEADING_RATE,ACC_LPF_SEL,YAW_RATE_KD,UNUSED_92,THROTTLE_GAIN_RATE,RX_AUX5_CH,RX_AUX6_CH,RX_AUX7_CH,YAW_ANGLE_Q_KP,YAW_ANGLE_Q_KI,YAW_ANGLE_Q_INT_LIMIT,ALT_POS_INT_LIMIT,MOTOR_STOP_SEL,UNUSED_ALT_VEL_KI,ALT_THROTTLE_COMP_LIMIT,VRS_ROC,UNUSED_105,AH_ROC_WINDOW_MPS,NAV_PROX_ALT_M,NAV_PROX_RADIUS_M,YAW_RATE_KI,YAW_RATE_INT_LIM,UNUSED_111,UNUSED_112,FW_STICK_SCALE,UNUSED_114,AH_THROTTLE_MOVING_TRIGGER,NAV_FENCE_RADIUS_M,DIVE_RECOVER_ALT,FAILSAFE_ACTION,FAILSAFE_DELAY,BATTERY_ALARM_PCT,ALT_ROC_KP,MAX_CLIMB_RATE_MP_S,RUDDER_MOTOR_FF,SPIRAL_DESCENT_BAND_M,UNUSED_124,TRACE_TYPE,UNUSED_126,POWER_RESET_CAUSE
original/Phoenix.af,original,FW,Phoenix FW,0.0,0.0,0.0,0.0,,1000,2200,11.1,,250,0.0,0.6,0.1,,,,0.05,0.008,0.6,20,,,,,,1,,,,200,0.3653,-0.27,2,,10,,,n/a,0.012,0.7,25,0.08,,1800,,0.5743,0.04,0.43449,0.005,2,eTxArming,0.01,1,1.83,8,eNoRF,0.01,0.2852,0,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,10.2,0,0.2,0.02,0.7,0.05,0.1,0.2,0,25,0.004,2.4,0.026,0.3,0.005,30,0.204204,4,eESCPWM,7,1,0.4,0,12,2,3,eRudderElevatorAF,eINavLUATelemetry,2.5,15,3,0.04,4,5,9,16.6667,2200,6,10,1.5,10,0,8,0.005,1,,2.0944,0,0,1,0.523599,0.349066,0.02,0,eNoAS,2e-06,eUseBatteryComp|eUseFastStart,0.261799,0,0.785398,50,0.349066,0.001,0.8,0,2.0944,2.0944,0,18.5,0,0,1.0472,4,0.00066,5,0,9,7,11,7.68,0.64,0.03,0.75,0,0.0005,0.1,-3,0,0.05,3,3,0,0.0003,0.5,2,0.4,0.785398,0.2,100,20,eFsRth,5,0.15,0.05,,,,,,0,0
original/Ecks_220mm.af,original,MR,Ecks 220mm,,,,,110,910,1500,11.1,,,,,,,,,,,,,,,,,,4,,682,,100,,,2,,8,,,,,,,,,,,,,0.2,0.005,7,eTxArming,0.01,0.25,1.83,7,eNoRF,0.01,0.095,0.008,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,9.6,1,0.54,0.02,0,0.05,0.25,0.25,1,25,0.008,2.4,0.0832,0.3,0.005,10,0.205949,4,eESCPWM,7,1,0.4,0,3,2,3,eQuadXAF,eINavLUATelemetry,1,15,2,0.04,4,5,0,16.6667,2200,6,10,1.5,10,0,8,0.005,4,,2.0944,0,0,1.5,1.0472,0.436333,0.01,0,eNoAS,3e-06,eUseBatteryComp|eUseFastStart,0.523599,0,0.523599,50,0.349066,0.025,0.8,0,3.66519,3.66519,0,18.5,0,0,1.0472,4,0.002,5,0,9,7,11,3,0.25,0.03,0.5,0,0.0005,0.2,-3,0,0.2,4,3,0,0.0003,1,2,0.4,0.785398,0.2,100,20,eFsRth,5,0.15,1,,,,,,0,0
original/Ken_450_1165.af,original,MR,Ken's 450-1165,,,,,225,1200,5000,11.1,,,,,,,,,,,,,,,,,,4,,900,,180,,,2,,8,,,,,,,,,,,,,0.208,0.005,7,eSwitchArming,0.01,0.208,1.83,7,eNoRF,0.01,0.09,0.008,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,13.6,1,0.31,0.04,0,0.1,0.2,0.1,1,10,0.009,2.4,0.182,0.3,0.005,10,0.226893,4,eESCPWM,7,1,0.4,0.01,5,2,3,eQuadXAF,eUAVXDJTTelemetry,1.8,10,2,0.04,5,8,0,16.6667,2200,6,7,1.5,20,0,11,0.005,2,,7.67945,0,0,2,1.0472,0.349066,0,0,eNoAS,5e-06,eUseBatteryComp|eUseFastStart,1.0472,0,1.0472,50,0.349066,0,0.8,0,7.33039,7.33039,0,18.5,0,0,1.0472,4,0.0003375,5,0,9,10,4,3,0.25,0.03,0.5,0,0.0005,0.2,-3,0,0.3,3,2,0,0.0003,0.5,2,0.2,0.785398,0.11,200,20,eFsRth,5,0.15,1,,,,,,0,0
original/Ken_Alpha_Test.af,original,MR,Ken's Alpha Test,,,,,181,1000,5000,14.8,,,,,,,,,,,,,,,,,,4,,827,,180,,,2,,8,,,,,,,,,,,,,0.3,0.005,5.75,eSwitchArming,0.01,0.3,1.83,5.75,eNoRF,0.01,0.1,0.008,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,13.8,1,0.3,0.03,0,0.05,0.15,0.15,1,25,0.006,2.4,0.039,0.3,0.4,10,0.204204,4,eESCPWM,7,1,0.36,0,5,2,3,eQuadXAF,eUAVXDJTTelemetry,3,10,2,0.04,5,11,0,25,2200,6,7,1.5,10,0,8,0.005,2,,5.23599,0,0,2.5,1.0472,0.349066,0,0,eNoAS,0,eUseBatteryComp|eUseFastStart,1.0472,0,1.0472,50,0.349066,0.001,0.8,0,6.02139,6.02139,0,18.5,0,0,1.0472,4,0.0003375,5,0,9,10,4,3,0.25,0.03,0.5,0,0.0005,0.2,-3,0,0.05,3,1,0,0.0003,0.5,2,0.4,0.785398,0.2,100,20,eFsRth,5,0.15,1,,,,,,0,0
original/Ken_LadyBug.af,original,MR,Ken's LadyBug,,,,,40,30,400,4.2,,,,,,,,,,,,,,,,,,4,,22,,10,,,2,,1.5,,,,,,,,,,,,,0.208,0.005,7,eSwitchArming,0.01,0.208,1.83,7,eNoRF,0.01,0.6,0.008,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,3,1,0.54,0.02,0,0.1,0.1,0.1,1,25,0.009,2.4,0.104,0.3,0.005,10,0.226893,4,eDCMotors,7,1,0.4,0,8,2,3,eQuadXAF,eUAVXDJTTelemetry,1.2,15,2,0.04,5,8,9,16.6667,2200,6,7,1.5,20,0,10,0.005,4,,7.67945,0.25,0.1,2,0.2618,0.2618,0.015,0.3,eNoAS,0,eUseBatteryComp|eUseFastStart,1.0472,0,1.0472,30,0.698132,0,0.8,0.087267,7.33039,7.33039,0,18.5,1,0.5,1.5708,4,0.0003375,5,0,9,11,4,3,0.25,0.03,0.5,0,0.0005,0.2,-3,0,0.05,5,10,0,0.0003,0.5,2,0.4,0.785398,0.3,100,20,eFsRth,5,0.15,1,,,,,,0,0
original/Ming_DevEBox.af,original,MR,DevEBox,,,,,230,1200,5000,11.1,,,,,,,,,,,,,,,,,,4,,720,,100,,,2,,10,,,,,,,,,,,,,0.28,0.005,5.75,eTxArming,0.01,0.28,1.83,5.75,eNoRF,0.01,0.095,0.008,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,9.6,1,0.3,0.03,0,0.05,0.15,0.15,1,25,0.006,2.4,0.0832,0.3,0.4,10,0.204204,4,eESCPWM,7,1,0.36,0,5,2,3,eQuadXAF,eUAVXDJTTelemetry,3,10,2,0.04,4,5,0,25,2200,6,10,1.5,10,0,8,0.005,2,,4.18879,0,0,1.5,1.0472,0.349066,0.01,0,eNoAS,1e-06,eUseBatteryComp|eUseFastStart,1.0472,0,1.0472,50,0.349066,0.02,0.8,0,6.02139,6.02139,0,18.5,0,0,1.0472,4,0.0003375,5,0,9,7,11,2.4,0.25,0.03,0.5,0,0.0005,0.2,-3,0,0.15,3,1,0,0.0003,0.2,2,0.4,0.785398,0.2,100,20,eFsRth,5,0.15,1,,,,,,0,0
original/Rok_Quad.af,original,MR,Rok's Quad,,,,,260,1344,5000,11.1,,,,,,,,,,,,,,,,,,4,,610,,120,,,2,,9,4,,,,,,,,,,,,0.35,0.005,5.75,eSwitchArming,0.01,0.4,1.83,5.75,eMaxSonarcm,0.01,0.095,0.006,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,2,10,1,0.5,0.02,0,0.1,0.15,0.15,1,25,0.008,2.4,0.0364,0.3,0,5,0.0593412,4,eESCPWM,7,0,0.1,0,3,1,3,eQuadAF,eUAVXDJTTelemetry,0.9,10,2,0.04,5,6,0,50,5000,4,8,1.5,10,0,11,0.005,1,,3.49066,0,0,1.5,1.0472,0.2618,0,0,eNoAS,1e-05,eUseBatteryComp|eUseFastStart,1.0472,0,1.0472,50,0.349066,0,0.8,0,6.02139,6.02139,0,18.5,0,0,1.0472,4,0.0003375,5,0,9,10,7,2.4,0.25,0.03,0.5,3,0.0005,0.2,-3,0,0.15,2,2,0,0.0003,0.2,2,0.4,0.785398,0.1,100,20,eFsRth,5,0.15,0.5,,,,,,0,0
original/S500_1137.af,original,MR,S500-1137,,,,,260,1000,2200,11.1,,,,,,,,,,,,,,,,,,4,,750,,180,,,2,,10,,,,,,,,,,,,,0.28,0.005,7,eTxArming,0.01,0.28,1.83,7,eNoRF,0.01,0.1,0.008,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,10.2,1,0.55,0.02,0,0.1,0.25,0.25,1,25,0.0045,2.4,0.052,0.3,0.005,10,0.204204,4,eESCPWM,7,1,0.4,0,3,2,3,eQuadXAF,eINavLUATelemetry,1,15,2,0.04,4,5,0,16.6667,2200,11,7,1.5,5,0,8,0.005,2,,2.0944,0,0,1.6,1.0472,0.349066,0,0,eNoAS,3e-06,eUseBatteryComp|eUseFastStart,1.0472,0,1.0472,50,0.349066,0.02,0.8,0,7.33039,7.33039,0,18.5,0,0,1.0472,4,0.0003375,5,0,9,10,6,2.4,0.25,0.03,0.5,0,0.0005,0.2,-3,0,0.05,1,1,0,0.0003,0.2,2,0.4,0.785398,0.2,100,20,eFsRth,5,0.15,1,,,,,,0,0
original/WLToys_LadyBug.af,original,MR,150mm Brushed,,,,,75,80,2200,11.1,,,,,,,,,,,,,,,,,,4,,60,,10,,,2,,2.5,,,,,,,,,,,,,0.208,0.005,7,eTxArming,0.01,0.208,1.83,7,eNoRF,0.01,0.35,0.008,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,3.4,1,0.59,0.02,0,0.1,0.1,0.1,1,25,0.009,2.4,0.0832,0.3,0.005,10,0.204204,4,eDCMotors,7,1,0.4,0,8,2,3,eQuadXAF,eINavLUATelemetry,1.2,15,2,0.04,4,5,9,16.6667,2200,6,7,1.5,10,0,8,0.005,4,,7.67945,0.25,0.1,1.5,0.2618,0.2618,0.015,0.3,eNoAS,3e-06,eUseBatteryComp|eUseFastStart,1.0472,0,1.0472,30,0.698132,0.001,0.8,0.087267,7.33039,7.33039,0,18.5,1,0.5,1.5708,4,0.0003375,5,0,9,10,11,3,0.25,0.03,0.5,0,0.0005,0.2,-3,0,0.05,5,10,0,0.0003,0.5,2,0.4,0.785398,0.3,100,20,eFsRth,5,0.15,1,,,,,,0,0
generic/Delta.af,generic,FW,Delta,0.05,0.0037,0.25,20,,1000,2200,11.1,,250,0.025,0.6,0.1,,,,0.05,0.0037,0.25,20,,,,,,1,22.0,700,11.1,,0.6344,-0.2,2,,5.0,4.3,,0.0057,0.003,0.25,25,0.08,,1000,,0.5872,0.02,0.7,0.005,2.0523443,eTxArming,0.0078539816,2,0.4,6.017169,eNoRF,0.0026179939,0.7,0.07,eLP2Filt,0,eCRSFRx,eUseRTHDescend|eUsingMag,0,9.9,0.1,0.5,0.02,0,0,0.10261722,0.30085845,0.1,25,0.006,2.4,0.000416,0.3,0.005,10,0.223402,0,eESCPWM,7,1,0.2,0,5,2,3,eDeltaAF,eUAVXDJTTelemetry,3,15,3,0.0008,6,5,0,25,1500,4,11,0.9,10,0,9,0.005,0,1,1,0.15,0.01,1,1.047,0.523,0,0.15,eNoAS,0,eUseBatteryComp|eUseFastStart,0.26179939,4,0.78539816,50,0.6,0.003,0.8,0,1.5707963,1.5707963,100,100,1,0.5,0.5236,4,0.0015,0,0,10,7,8,4,0.2,0.04,0.00375,1,0.01,0.25,-1.5,0,1,4,3,0,0.0003,0,0,0.4,0,0.02,200,15,eFsRth,5,0.15,0.2,5,0,3,0,1,0,0
