airframe,category,PHYS_AUW_G,PHYS_ARM_MM,PHYS_PROP_INCH,PHYS_MOTOR_W,PHYS_MOTOR_COUNT,PHYS_WINGSPAN_MM,PHYS_CHORD_MM,PHYS_BATT_V
150mm_Brushed,quad,800,220,11.0,100,4,,,
DevEBox,quad,800,220,11.0,100,4,,,
Ecks_220mm,quad,800,220,11.0,100,4,,,
Ken_s_450_1165,quad,800,220,11.0,100,4,,,
Ken_s_Alpha_Test,quad,800,220,11.0,100,4,,,
Ken_s_LadyBug,quad,800,220,11.0,100,4,,,
Rok_s_Quad,quad,800,220,11.0,100,4,,,
S500_1137,quad,800,220,11.0,100,4,,,
Phoenix_FW,fw,1000,,10.0,150,,1800,250,50.0
Sky_Surfer_Test,fw,1000,,10.0,150,,1800,250,50.0
Spoileron,fw,1000,,10.0,150,,1800,250,50.0
Wing_900mm,fw,1000,,10.0,150,,1800,250,50.0
